Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;;Viajero;Total;2024M10;424.160
Total Nacional;;Viajero;Total;2024M09;482.574
Total Nacional;;Viajero;Total;2024M08;687.907
Total Nacional;;Viajero;Total;2024M07;559.284
Total Nacional;;Viajero;Total;2024M06;456.854
Total Nacional;;Viajero;Total;2024M05;442.460
Total Nacional;;Viajero;Total;2024M04;350.649
Total Nacional;;Viajero;Total;2024M03;363.288
Total Nacional;;Viajero;Total;2024M02;210.124
Total Nacional;;Viajero;Total;2024M01;156.492
Total Nacional;;Viajero;Total;2023M12;347.975
Total Nacional;;Viajero;Total;2023M11;261.722
Total Nacional;;Viajero;Total;2023M10;400.646
Total Nacional;;Viajero;Total;2023M09;481.548
Total Nacional;;Viajero;Total;2023M08;665.755
Total Nacional;;Viajero;Total;2023M07;572.210
Total Nacional;;Viajero;Total;2023M06;437.016
Total Nacional;;Viajero;Total;2023M05;368.573
Total Nacional;;Viajero;Total;2023M04;460.666
Total Nacional;;Viajero;Total;2023M03;268.598
Total Nacional;;Viajero;Total;2023M02;217.686
Total Nacional;;Viajero;Total;2023M01;165.458
Total Nacional;;Viajero;Total;2022M12;314.339
Total Nacional;;Viajero;Total;2022M11;250.980
Total Nacional;;Viajero;Total;2022M10;400.062
Total Nacional;;Viajero;Total;2022M09;439.050
Total Nacional;;Viajero;Total;2022M08;646.185
Total Nacional;;Viajero;Total;2022M07;569.042
Total Nacional;;Viajero;Total;2022M06;412.181
Total Nacional;;Viajero;Total;2022M05;365.553
Total Nacional;;Viajero;Total;2022M04;412.860
Total Nacional;;Viajero;Total;2022M03;227.429
Total Nacional;;Viajero;Total;2022M02;212.691
Total Nacional;;Viajero;Total;2022M01;145.193
Total Nacional;;Viajero;Total;2021M12;288.182
Total Nacional;;Viajero;Total;2021M11;248.744
Total Nacional;;Viajero;Total;2021M10;439.833
Total Nacional;;Viajero;Total;2021M09;425.742
Total Nacional;;Viajero;Total;2021M08;640.477
Total Nacional;;Viajero;Total;2021M07;525.007
Total Nacional;;Viajero;Total;2021M06;318.030
Total Nacional;;Viajero;Total;2021M05;199.371
Total Nacional;;Viajero;Total;2021M04;127.464
Total Nacional;;Viajero;Total;2021M03;99.362
Total Nacional;;Viajero;Total;2021M02;34.355
Total Nacional;;Viajero;Total;2021M01;33.313
Total Nacional;;Viajero;Total;2020M12;85.687
Total Nacional;;Viajero;Total;2020M11;41.937
Total Nacional;;Viajero;Total;2020M10;162.686
Total Nacional;;Viajero;Total;2020M09;259.925
Total Nacional;;Viajero;Total;2020M08;535.842
Total Nacional;;Viajero;Total;2020M07;428.995
Total Nacional;;Viajero;Total;2020M06;116.497
Total Nacional;;Viajero;Total;2020M05;8.005
Total Nacional;;Viajero;Total;2020M04;.
Total Nacional;;Viajero;Total;2020M03;56.332
Total Nacional;;Viajero;Total;2020M02;226.830
Total Nacional;;Viajero;Total;2020M01;160.172
Total Nacional;;Viajero;Total;2019M12;341.850
Total Nacional;;Viajero;Total;2019M11;300.454
Total Nacional;;Viajero;Total;2019M10;374.023
Total Nacional;;Viajero;Total;2019M09;419.287
Total Nacional;;Viajero;Total;2019M08;655.937
Total Nacional;;Viajero;Total;2019M07;515.634
Total Nacional;;Viajero;Total;2019M06;439.082
Total Nacional;;Viajero;Total;2019M05;367.754
Total Nacional;;Viajero;Total;2019M04;382.344
Total Nacional;;Viajero;Total;2019M03;288.532
Total Nacional;;Viajero;Total;2019M02;197.124
Total Nacional;;Viajero;Total;2019M01;139.376
Total Nacional;;Viajero;Total;2018M12;334.370
Total Nacional;;Viajero;Total;2018M11;281.690
Total Nacional;;Viajero;Total;2018M10;378.284
Total Nacional;;Viajero;Total;2018M09;422.060
Total Nacional;;Viajero;Total;2018M08;617.971
Total Nacional;;Viajero;Total;2018M07;481.751
Total Nacional;;Viajero;Total;2018M06;406.187
Total Nacional;;Viajero;Total;2018M05;341.270
Total Nacional;;Viajero;Total;2018M04;341.465
Total Nacional;;Viajero;Total;2018M03;327.077
Total Nacional;;Viajero;Total;2018M02;188.874
Total Nacional;;Viajero;Total;2018M01;139.670
Total Nacional;;Viajero;Total;2017M12;330.528
Total Nacional;;Viajero;Total;2017M11;227.661
Total Nacional;;Viajero;Total;2017M10;351.998
Total Nacional;;Viajero;Total;2017M09;404.320
Total Nacional;;Viajero;Total;2017M08;578.524
Total Nacional;;Viajero;Total;2017M07;489.067
Total Nacional;;Viajero;Total;2017M06;376.799
Total Nacional;;Viajero;Total;2017M05;312.772
Total Nacional;;Viajero;Total;2017M04;413.792
Total Nacional;;Viajero;Total;2017M03;240.397
Total Nacional;;Viajero;Total;2017M02;190.824
Total Nacional;;Viajero;Total;2017M01;133.292
Total Nacional;;Viajero;Residentes en España;2024M10;299.562
Total Nacional;;Viajero;Residentes en España;2024M09;325.571
Total Nacional;;Viajero;Residentes en España;2024M08;514.419
Total Nacional;;Viajero;Residentes en España;2024M07;393.927
Total Nacional;;Viajero;Residentes en España;2024M06;322.038
Total Nacional;;Viajero;Residentes en España;2024M05;297.893
Total Nacional;;Viajero;Residentes en España;2024M04;241.930
Total Nacional;;Viajero;Residentes en España;2024M03;302.420
Total Nacional;;Viajero;Residentes en España;2024M02;178.117
Total Nacional;;Viajero;Residentes en España;2024M01;131.986
