id,genero,estado_civil,condicion,fecha_muerte,fecha_siniestro,canton,provincia,fecha_registro,tipo_accidente
1,MASCULINO,SOLTERO/A,PEATÓN,2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,Mira,Carchi,2021-11-21T00:00:00Z,ATROPELLO
2,MASCULINO,SOLTERO/A,OCUPANTE,2021-10-31T00:00:00Z,2021-10-30T00:00:00Z,Quito,Pichincha,2021-11-21T00:00:00Z,CHOQUE
3,MASCULINO,CASADO/A,OCUPANTE,2021-09-14T00:00:00Z,2021-09-14T00:00:00Z,Shushufindi,Sucumbíos,2021-11-21T00:00:00Z,CHOQUE
4,MASCULINO,CASADO/A,OCUPANTE,2020-12-18T00:00:00Z,2020-12-19T00:00:00Z,Calceta,Manabí,2021-11-21T00:00:00Z,VOLCAMIENTO
5,MASCULINO,SOLTERO/A,OCUPANTE,2021-10-07T00:00:00Z,2021-10-04T00:00:00Z,Quevedo,Los Ríos,2021-11-21T00:00:00Z,CHOQUE
6,MASCULINO,SOLTERO/A,PEATÓN,2021-10-26T00:00:00Z,2021-10-26T00:00:00Z,Atacames,Esmeraldas,2021-11-21T00:00:00Z,ATROPELLO
7,MASCULINO,SOLTERO/A,OCUPANTE,2021-10-10T00:00:00Z,2021-10-10T00:00:00Z,Tena,Napo,2021-11-21T00:00:00Z,CHOQUE
8,FEMENINO,SOLTERO/A,OCUPANTE,2021-09-27T00:00:00Z,2021-09-27T00:00:00Z,San Miguel,Bolivar,2021-11-21T00:00:00Z,CHOQUE
9,MASCULINO,SOLTERO/A,OCUPANTE,2021-10-23T00:00:00Z,2021-10-23T00:00:00Z,Balzar,Guayas,2021-11-21T00:00:00Z,CHOQUE
10,MASCULINO,SOLTERO/A,OCUPANTE,2021-06-17T00:00:00Z,2021-06-17T00:00:00Z,Cuenca,Azuay,2021-11-21T00:00:00Z,VOLCAMIENTO
11,MASCULINO,SOLTERO/A,OCUPANTE,2021-10-22T00:00:00Z,2021-10-22T00:00:00Z,Playas,Guayas,2021-11-21T00:00:00Z,VOLCAMIENTO
12,MASCULINO,CASADO/A,OCUPANTE,2021-10-30T00:00:00Z,2021-10-30T00:00:00Z,El Guabo,El Oro,2021-11-21T00:00:00Z,CHOQUE
13,MASCULINO,SOLTERO/A,OCUPANTE,2021-09-05T00:00:00Z,2021-09-05T00:00:00Z,Santa Ana,Manabí,2021-11-20T00:00:00Z,CHOQUE
14,MASCULINO,SOLTERO/A,OCUPANTE,2021-10-03T00:00:00Z,2021-10-03T00:00:00Z,Echeandía,Bolivar,2021-11-20T00:00:00Z,CHOQUE
15,FEMENINO,CASADO/A,OCUPANTE,2021-10-18T00:00:00Z,2021-10-18T00:00:00Z,Colta,Chimborazo,2021-11-20T00:00:00Z,CHOQUE
16,MASCULINO,SOLTERO/A,OCUPANTE,2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,Playas,Guayas,2021-11-20T00:00:00Z,CHOQUE
17,MASCULINO,VIUDO/A,OCUPANTE,2021-08-20T00:00:00Z,2021-08-20T00:00:00Z,Catamayo,Loja,2021-11-20T00:00:00Z,CHOQUE
18,MASCULINO,SOLTERO/A,OCUPANTE,2021-09-04T00:00:00Z,2021-09-04T00:00:00Z,El Guabo,El Oro,2021-11-20T00:00:00Z,CHOQUE
19,MASCULINO,SOLTERO/A,OCUPANTE,2021-09-18T00:00:00Z,2021-09-11T00:00:00Z,Las Naves,Bolivar,2021-11-20T00:00:00Z,VOLCAMIENTO
20,MASCULINO,SOLTERO/A,OCUPANTE,2021-09-28T00:00:00Z,2021-09-28T00:00:00Z,Tarapoa,Sucumbíos,2021-11-20T00:00:00Z,VOLCAMIENTO
